,result,title,explain
386,1178, 글로벌10억  라이카xJMGO의 초단초점 FHD 빔프로젝터 O1 pro,라이카로 설계된 Dynaudio Co가 조정한 9인치 자동 보정  듀얼 스피커100  FHD가 탑재되고 주조 그림자의 불편함이 없는 빔프로젝터 JMGO O1 PRO 지금 만나세요 
532,4901,앵콜   전기차도 LFP베터리  안전하고 강력한 초대용량 파워 스테이션 ,1228Wh의 초대용량  전기차 배터리도 이제는 LFP가 대세  캠핑  차박에서 언제든 활약하는 엘레일스 E1200 파워 스테이션 
629,224,청정가전시스템 세상에 없던 가정용 청정 가전 에어로워셔 ,황사부터 먼지  세균까지  요즘 같은 환경에 우리집에 꼭 필요한 가전  집으로 가지고 들어오지 말고  현관에서 차단  털어주고 걸러주고 없애주는 우리집 클린룸  에어로워셔 
1302,29752,300인치까지 또렷하게  Full HD   하만카돈 스마트 빔프로젝터,HORIZON은 최대 300인치의 거대한 화면 크기  2200 안시 루멘 밝기를 자랑하며 FHD 광학 엔진은 밝은 환경에서도 높은 색상과 매우 선명한 이미지를 일관되게 제공합니다
1461,10614,6시간만에 음쓰 92  감량 끝  4 3L 대용량 괴물스펙 음식물 처리기,전작의 단점을 보완한 와디즈 최초공개 휴렉 히어로  매번 버리기 귀찮은 음식물쓰레기와  세균 걱정까지 주방 위생 1등 공신 휴렉 히어로로 말끔히 해결 
2416,3463, 집에서 즐기는 영화관 돌비사운드  무선 홈 시어터 5 1ch 7 1ch,복잡한 선연결 없이 즐기는 리얼 Dolby ATMOS 서라운드 홈시어터 Platin Monaco 시리즈 공식출시    WiSA기술 적용 고성능 무선 홈시어터 시스템
3011,1605, 마지막 앵콜  글로벌52억  레이저 커터 각인기의 끝판왕 Cubiio2,킥스타터 제작툴 카테고리 역사적 펀딩액 달성  1세대 기록을 갈아치우고 더 강력해져 돌아온 큐비오2  재료의 한계를 뛰어넘어 당신이 상상한 모든 것을 창조하세요 
3498,38, 먼지 바이러스 모두 케어  당신이 숨쉬는 모든 순간을 살균하세요,바이러스에게 빼앗긴 우리의 일상 생활  나와 우리가족 함께 일하는 동료들을 위한 최소한의 바이러스 완전 정복 프로젝트 에어네비 바이러스케어와 함께 만들어 보세요 
4410,1,아직도 공기청정기  l 세상에 없던 가정용 청정 가전  에어로워셔 ,황사부터 먼지  세균까지  요즘 같은 환경에 우리집에 꼭 필요한 가전  집으로 가지고 들어오지 말고  현관에서 차단  털어주고 걸러주고 없애주는 우리집 클린룸  에어로워셔 
4609,2435, 공기청정   99 살균  특허받은 광촉매 공기살균기 한샘오젠 바이러스X,자연에서 답을 찾다  모든 유해물질까지 살균되는 완벽한 공기로 특허받은 광촉매 공기살균기 바이러스 엑스
5027,2556, 제습만을 위한 진짜 제 습 기  냉장고 컴프레서를 품은 파워 제습기,365일 뽀송뽀송 쾌적한라이프  제습만을 위해 태어난 Wood s 스웨덴 프리미엄 환경친화적 제습기  Wood s  이보다 더 확실하고 강력할 순 없다  지금이 바로 제습할 시간 
