eps : 0.15000000000000002, number of sample 2
eps : 0.2, number of sample 2
eps : 0.25, number of sample 2
eps : 0.3, number of sample 2
eps : 0.35000000000000003, number of sample 2
eps : 0.4, number of sample 2
eps : 0.45, number of sample 2
eps : 0.5, number of sample 2
eps : 0.55, number of sample 2
eps : 0.6000000000000001, number of sample 2
eps : 0.6500000000000001, number of sample 2
eps : 0.7000000000000001, number of sample 2
eps : 0.7500000000000001, number of sample 2
eps : 0.8, number of sample 2
eps : 0.8500000000000001, number of sample 2
eps : 0.9000000000000001, number of sample 2
eps : 0.9500000000000001, number of sample 2
eps : 1.0, number of sample 2
eps : 1.05, number of sample 2
eps : 1.1, number of sample 2
eps : 1.1500000000000001, number of sample 2
eps : 1.2000000000000002, number of sample 2
eps : 1.2500000000000002, number of sample 2
eps : 1.3, number of sample 2
eps : 1.3, number of sample 5
eps : 1.35, number of sample 2
eps : 1.35, number of sample 5
eps : 1.4000000000000001, number of sample 2
eps : 1.4000000000000001, number of sample 5
eps : 1.4500000000000002, number of sample 2
eps : 1.4500000000000002, number of sample 5
eps : 1.5000000000000002, number of sample 2
eps : 1.5000000000000002, number of sample 5
eps : 1.55, number of sample 2
eps : 1.55, number of sample 5
eps : 1.6, number of sample 2
eps : 1.6, number of sample 5
eps : 1.6500000000000001, number of sample 2
eps : 1.6500000000000001, number of sample 5
eps : 1.7000000000000002, number of sample 2
eps : 1.7000000000000002, number of sample 5
eps : 1.7500000000000002, number of sample 2
eps : 1.7500000000000002, number of sample 5
eps : 1.8, number of sample 2
eps : 1.8, number of sample 5
eps : 1.85, number of sample 2
eps : 1.85, number of sample 5
eps : 1.9000000000000001, number of sample 2
eps : 1.9000000000000001, number of sample 5
eps : 1.9500000000000002, number of sample 2
eps : 1.9500000000000002, number of sample 5
eps : 2.0, number of sample 2
eps : 2.0, number of sample 5
eps : 2.05, number of sample 2
eps : 2.05, number of sample 5
eps : 2.1, number of sample 2
eps : 2.1, number of sample 5
eps : 2.15, number of sample 2
eps : 2.15, number of sample 5
eps : 2.1999999999999997, number of sample 2
eps : 2.1999999999999997, number of sample 5
eps : 2.25, number of sample 2
eps : 2.25, number of sample 5
eps : 2.3, number of sample 2
eps : 2.3, number of sample 5
eps : 2.35, number of sample 2
eps : 2.35, number of sample 5
eps : 2.4, number of sample 2
eps : 2.4, number of sample 5
eps : 2.45, number of sample 2
eps : 2.45, number of sample 5
eps : 2.5, number of sample 2
eps : 2.5, number of sample 5
eps : 2.55, number of sample 2
eps : 2.55, number of sample 5
eps : 2.55, number of sample 10
eps : 2.6, number of sample 2
eps : 2.6, number of sample 5
eps : 2.6, number of sample 10
eps : 2.65, number of sample 2
eps : 2.65, number of sample 5
eps : 2.65, number of sample 10
eps : 2.7, number of sample 2
eps : 2.7, number of sample 5
eps : 2.7, number of sample 10
eps : 2.75, number of sample 2
eps : 2.75, number of sample 5
eps : 2.75, number of sample 10
eps : 2.75, number of sample 20
eps : 2.8, number of sample 2
eps : 2.8, number of sample 5
eps : 2.8, number of sample 10
eps : 2.8, number of sample 20
eps : 2.85, number of sample 2
eps : 2.85, number of sample 5
eps : 2.85, number of sample 10
eps : 2.85, number of sample 20
eps : 2.85, number of sample 25
eps : 2.9, number of sample 2
eps : 2.9, number of sample 5
eps : 2.9, number of sample 10
eps : 2.9, number of sample 20
eps : 2.95, number of sample 2
eps : 2.95, number of sample 5
eps : 2.95, number of sample 10
eps : 2.95, number of sample 20
eps : 3.0, number of sample 2
eps : 3.0, number of sample 5
eps : 3.0, number of sample 10
eps : 3.0, number of sample 20
eps : 3.05, number of sample 2
eps : 3.05, number of sample 5
eps : 3.05, number of sample 10
eps : 3.1, number of sample 2
eps : 3.1, number of sample 5
eps : 3.1, number of sample 10
eps : 3.15, number of sample 2
eps : 3.15, number of sample 5
eps : 3.2, number of sample 2
eps : 3.2, number of sample 5
eps : 3.25, number of sample 2
eps : 3.25, number of sample 5
eps : 3.3, number of sample 2
eps : 3.3, number of sample 5
eps : 3.35, number of sample 2
eps : 3.35, number of sample 5
eps : 3.4, number of sample 2
eps : 3.4, number of sample 5
eps : 3.45, number of sample 2
eps : 3.5, number of sample 2
eps : 3.55, number of sample 2
eps : 3.6, number of sample 2
eps : 3.65, number of sample 2
eps : 3.7, number of sample 2
eps : 3.75, number of sample 2
eps : 3.8, number of sample 2
eps : 3.85, number of sample 2
eps : 3.9, number of sample 2
eps : 3.95, number of sample 2
eps : 4.0, number of sample 2
eps : 4.05, number of sample 2
eps : 4.1, number of sample 2
eps : 4.15, number of sample 2
