,3,0,18,12,13,7,16,15,1,5,10,9,14,2,8,19,17,4,6,11
푸드,1479,1202,32,0,8,1450,381,7,6,32,2,4,19,12,0,0,0,1,5,0
게임·취미,0,1,104,1,29,3,1,51,117,6,6,36,0,3,3,0,0,3,2,0
스포츠·모빌리티,2,0,20,57,148,0,14,15,17,376,1,106,8,67,15,38,29,40,1,0
패션·잡화,2,17,516,903,1559,3,40,53,7,172,83,143,24,269,1716,1794,1015,9,750,0
홈·리빙,17,19,540,31,256,103,417,868,93,697,62,203,62,1073,79,42,92,31,37,0
클래스·컨설팅,1,0,6,0,0,0,1,7,357,4,1,3,0,1,0,0,0,6,0,0
반려동물,114,6,20,1,11,26,4,71,2,18,1292,9,5,114,27,6,20,2,3,0
테크·가전,10,1,33,4,60,27,69,113,61,152,12,1138,32,474,14,5,15,59,0,0
뷰티,23,11,51,6,41,1,200,4,8,45,2,10,2589,185,0,4,1,1,7,1
베이비·키즈,8,4,68,2,23,0,0,30,128,17,10,8,3,25,15,4,1,5,0,0
모임,0,0,8,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0
여행·레저,2,7,96,7,47,17,18,382,12,38,3,45,0,28,122,31,26,52,2,0
소셜·캠페인,0,6,241,1,1,3,4,5,23,2,60,3,2,16,3,3,6,1,2,1
출판,0,0,131,0,3,1,3,5,240,1,1,1,0,1,0,1,0,0,2,0
컬쳐·아티스트,0,1,315,0,28,1,9,23,31,0,9,19,0,1,0,1,1,13,5,0
캐릭터·굿즈,3,2,98,0,7,0,3,6,3,1,21,2,0,3,3,0,3,0,2,0
기부·후원,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
