,4,15,1,5,12,7,9,0,10,11,8,17,13,14,19,3,6,2,18,16
푸드,1448,1505,36,0,14,1525,11,29,25,3,4,5,0,21,0,8,0,1,5,0
게임·취미,0,1,69,1,46,4,3,164,7,7,40,0,3,0,0,15,0,3,3,0
스포츠·모빌리티,4,1,10,59,132,0,67,27,339,1,83,2,11,7,37,122,14,37,1,0
패션·잡화,5,25,196,907,1507,6,247,184,158,98,139,24,1703,22,1807,232,1046,9,760,0
홈·리빙,29,89,1062,32,272,145,1060,250,789,75,263,212,82,10,42,170,78,31,31,0
클래스·컨설팅,1,0,4,0,0,0,1,357,4,2,10,1,0,0,0,1,0,6,0,0
반려동물,111,5,24,0,13,27,84,13,16,1319,12,43,27,1,6,27,18,2,3,0
테크·가전,12,21,67,4,72,32,491,67,150,13,1120,57,14,15,5,74,12,52,1,0
뷰티,20,31,124,6,43,1,49,29,36,2,11,1109,1,1704,4,11,0,1,7,1
베이비·키즈,8,5,20,2,26,0,20,181,14,15,9,6,11,3,5,19,1,5,1,0
모임,0,1,3,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0
여행·레저,1,10,20,6,39,15,20,42,24,3,42,3,88,1,21,546,12,41,1,0
소셜·캠페인,0,8,25,1,7,3,16,223,2,65,1,4,3,1,6,5,8,1,3,1
출판,0,2,27,0,5,0,1,345,0,1,1,0,0,0,1,5,0,0,2,0
컬쳐·아티스트,0,2,140,0,60,1,0,190,1,10,16,0,0,0,1,19,1,13,3,0
캐릭터·굿즈,4,2,37,0,29,0,3,36,1,36,2,0,2,0,0,1,2,0,2,0
기부·후원,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
